Day,shervin_notes,shervin_rating,caitlin_notes,caitlin_rating,brew_method,Filter type,grind_size_µm,final_drain_time,day,bean,origin,process,varietal,onyx_box_price,onyx_green_price,cup_score,agtron,onyx_notes,instagram_notes,ash_notes,ash_rating,kelly_notes,kelly_rating
11,"Smell: Honeysuckle, sweet florals. Taste: Honey, blackberry, kumquat, white tea. Smooth and silky",7.5,"Rose, lemongrass, brown sugar, sweet dried fruit, touch of lemon",7,"Hario, sibarist filter. Grind 6.2. Touch underextracted",Cone,610,3:35,11,Edward Sandoval Chiroso,"Tolima, Colombia",Washed,Chiroso,$24.00,$5.49,87,100.3,"Pear, Oolong Tea, Raw Sugar, Minerality",,"Lemon, chocolate, tea",7,,8
12,"Smell: Holiday spice and raisin Taste: Dried apricot, blood orange, cranberry, vanilla. Tart with a bitterness. More interesting than good",6.5,"Lime, Lipton black tea, malty and bitter or tannic, savory broth",4,"Hario, sibarist filter. Grind 6.4",Cone,730,3:15,2,Mazateca Mujeres,"Sierra Mazateca, Oaxaca",Washed,"Typica, Bourbon",,,,,"Orange, Fig, Milk Chocolate, Chocolate Bean","Cherry, chocolate, marzipan, red fruits, panela","raspberries, chocolate, almonds",7.5,"caramel, apple, lemon ",7
13,"Smell: Roasted chestnut, spice Taste: Black tea, cardamom, lemon, cherry",5,"Cherry cordial, pomegranate syrup, earthy mushroom or brothy tea, nectarine or stonefruit as it cools",7.5,"Orea, Sibarist Filter, fast bottom. Grind 6.3. Dripped through faster than onyx guide",Flat,682,3:10,13,Krampus,"Kirinyaga, Kenya",Washed,"SL28, SL34, Ruiru 11",$26.00,$5.17,87.5,104,"Brûléed Grapefruit, Chocolate Cake, Tobacco, Viscous",n/a,,,"chocolate, red currant, tobacco ",8
14,"Smell: Cherry + toasty Taste: Cherry cordial, freeze dried strawberry, hibiscus, cranberry compote. Started off a little boozy, but went more into floral. Each sip starts sweet and ends with a bright acidity",6.5,"Red plum, starfruit, faint honey and grapefruit",7,"Hario, sibarist filter. Grind 6.1. ",Cone,646,3:25,14,Santa Rosa Honey,"Chalatenango, El Salvador",Red Honey,Pacamara,$27.00,$7.00,87,125,"Rose, Concord Grape, Milk Chocolate, Pink Grapefruit","sweet, molasses, dry plum, dark chocolate","caramel, sticky, beans smelled good opening the bag",7.5,"Floral, strawberry, peach",7.5
15,"Smell: Unusually faint smell. Bananas and spice. Taste: Cantaloupe, Key lime, Nutmeg, Kumquat. Sweet and lightly fruity, very harmonious. Not surprising in any direction, but just a really nice cup",8,"Cinnamon, anise, banana pudding, chocolate cream",6.5,"Hario, sibarist filter. Grind 6.3. ",Cone,610,3:45,15,Lalesa Ephtah Site Slow Dry Natural,"Gedeb, Ethiopia",Natural,Landrace,,,,,"Strawberry, Sweet Lemon, Honey, Grapefruit","strawberry, sweet lemon, sweet acidity",,,"chocolate, caramel cherry",7
16,"Smell: Honeysuckle, orange marmalade. Taste: Orange blossom honey, Orange marmalade, rainier cherry, lychee. Sweet and floral heavy, kind of like a flowery honey. Well balanced and harmonious",9,"Bitter dark chocolate, blueberry, rose",5.5,"Hario, sibarist filter. Grind 6.4. Touch underextracted",Cone,620,3:45,16,Hacienda Barbara Catuai Natural,"Boquete, Panama",Natural,Catuai,,,,,"Blackberry Compote, Dark Chocolate, Raisin, Spice","fruity, berries, dark chocolate, spices","Apple, raisin, caramel, nutmeg",8.5,"cranberry, lemon, milk chocolate ",6
17,"Smell: Tomato sauce Taste: Blueberry, tomato, worcestershire sauce, raisin. Tangy savory, like a tomato. Felt like it was a developed flavor",8.5,"Sweet and juicy tropical fruit like papaya or mango, grilled pineapple, toasted yerba mate, carmelized sugar",8.5,"Orea, Sibarist Filter, fast bottom. Grind 6.4 was good, 6.6 dripped too fast",Flat,802,3:45,17,Kamunyaka AA,"Kirinyaga, Kenya",Washed,"SL28, SL34, Ruiru 11",,,,,"Apple, Green Grape, Mango, Melon","complex sweetness, green apples, plums, grapes, mango, passionfruit, melon",,,"apricot, green apple, milk chocolate",6
18,"Smell: Burnt sugar, candied orange Taste: Prune, pineapple, green grape, honeysuckle. Each sip shifts from sweet to crisp tart",7.5,"Nutty, tannic, dark chocolate, raspberry, cherry, lime",7.5,"Hario, sibarist filter. Grind 6.3.",Cone,682,4:00,18,Bombe Natural,"Bensa, Ethiopia",Natural,Landrace,$23.00,$4.90,87.5,,"Strawberry, Crisp Apple, Sugar Cane, Lavender","sweetness, acidity, florals",,,,
19,"Smell: Freshly baked bread, mixed berry Taste: Boysenberry, concord grape, lavender, key lime pie. Sweet to start, turned more tart as it cooled",8.5,"Nutty and chocolate, tea, Lipton again but not as strong as before, lemongrass",5,"Hario, sibarist filter. Grind 6.0.",Cone,526,4:10,19,John Diaz Pink Bourbon,"Huila, Colombia",Washed,Pink Bourbon,,,,,"Lime, Cacao Nib, Milk Chocolate, Round","Cacao nibs, milk chocolate, really sweet, almost floral, lime zest",,,"cranberry, camomile, toast",8
20,"Smell: Roasted chestnut, roasted cacao. Taste: Persimmon, raspberry, raisin, chocolate",6.5,"Bright red fruit like cranberry or sour cherry, bittersweet chocolate, lemon zest",7,"Orea, Sibarist Filter, fast bottom. Grind 6.2. Touch under",Flat,562,2:50,20,Sagastume Family Natural,"Santa Barbara, Honduras",Natural,Parainema,$24.00,$5.10,86.5,73.5,"Sweet Plantain, Blackberry, Backstrap Molasses, Cacao Nib",Yellow plum and grape,,,"caramel, dark chocolate, cranberry",8
21,"Smell: Strawberry candy Taste: Strawberry, lychee, fruit tea, cherry compote. More smell than taste, especially in sweetness",7,"Strong blueberry muffin smell and taste, sweet, nutmeg or ginger, violet",8.5,"Orea, Sibarist Filter, fast bottom. Grind 6.2. Dripped through fast",Flat,810,3:00,21,Jairo Arcila Lychee,"Quindío, Colombia",Washed,Castillo,$27.00,$8.00,87,78.2,"Lychee, Lime Rind, Pineapple, Rose","Lychee co-ferment, sweet, acidity, chamomile",,,,
22,,,,,,Flat,490,3:00,,,,,,,,,,,,,,,
23,,,,,,Cone,646,3:35,,,,,,,,,,,,,,,
24,,,,,,Cone,562,3:10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Median,,,,,,,,,,,,,,$26.00,$5.17,87,,,,,,,
Mean,,,,,,,,,,,,,,$25.64,$5.74,86.92857143,,,,,,,
